2312.4706 ; 2116.00 ; 2323.90 ; 85.00 ; 
2328.5294 ; 2138.00 ; 2347.58 ; 85.00 ; 
2344.5882 ; 2151.00 ; 2361.57 ; 86.00 ; 
2360.6471 ; 2163.00 ; 2374.48 ; 85.00 ; 
2376.7059 ; 2183.00 ; 2395.98 ; 85.00 ; 
2392.7647 ; 2191.00 ; 2404.58 ; 85.00 ; 
2408.8235 ; 2199.00 ; 2413.18 ; 86.00 ; 
2424.8824 ; 2224.00 ; 2440.04 ; 86.00 ; 
2440.9412 ; 2230.00 ; 2446.48 ; 85.00 ; 
2457.0000 ; 2245.00 ; 2462.58 ; 85.00 ; 
2473.0588 ; 2259.00 ; 2477.60 ; 85.00 ; 
2489.1176 ; 2285.00 ; 2505.48 ; 85.00 ; 
2505.1765 ; 2294.00 ; 2515.12 ; 85.00 ; 
2521.2353 ; 2297.00 ; 2518.33 ; 86.00 ; 
2537.2941 ; 2323.00 ; 2546.16 ; 86.00 ; 
2553.3529 ; 2341.00 ; 2565.41 ; 85.00 ; 
2569.4118 ; 2363.00 ; 2588.90 ; 85.00 ; 
2585.4706 ; 2375.00 ; 2601.70 ; 85.00 ; 
2601.5294 ; 2384.00 ; 2611.30 ; 86.00 ; 
2617.5882 ; 2399.00 ; 2627.28 ; 85.00 ; 
2633.6471 ; 2416.00 ; 2645.38 ; 86.00 ; 
2649.7059 ; 2430.00 ; 2660.26 ; 86.00 ; 
2665.7647 ; 2443.00 ; 2674.07 ; 86.00 ; 
2681.8235 ; 2463.00 ; 2695.28 ; 85.00 ; 
2697.8824 ; 2475.00 ; 2707.99 ; 86.00 ; 
2713.9412 ; 2491.00 ; 2724.92 ; 85.00 ; 
2730.0000 ; 2511.00 ; 2746.05 ; 85.00 ; 
2746.0588 ; 2514.00 ; 2749.22 ; 85.00 ; 
2762.1176 ; 2530.00 ; 2766.08 ; 85.00 ; 
2778.1765 ; 2546.00 ; 2782.93 ; 85.00 ; 
2794.2353 ; 2559.00 ; 2796.59 ; 85.00 ; 
2810.2941 ; 2559.00 ; 2796.59 ; 85.00 ; 
2826.3529 ; 2607.00 ; 2846.87 ; 85.00 ; 
2842.4118 ; 2607.00 ; 2846.87 ; 85.00 ; 
2858.4706 ; 2624.00 ; 2864.61 ; 85.00 ; 
2874.5294 ; 2637.00 ; 2878.14 ; 85.00 ; 
2890.5882 ; 2651.00 ; 2892.70 ; 85.00 ; 
2906.6471 ; 2670.00 ; 2912.41 ; 86.00 ; 
2922.7059 ; 2679.00 ; 2921.72 ; 85.00 ; 
2938.7647 ; 2699.00 ; 2942.39 ; 85.00 ; 
2954.8235 ; 2715.00 ; 2958.87 ; 85.00 ; 
2970.8824 ; 2723.00 ; 2967.10 ; 86.00 ; 
2986.9412 ; 2743.00 ; 2987.62 ; 86.00 ; 
3003.0000 ; 2753.00 ; 2997.85 ; 85.00 ; 
3019.0588 ; 2774.00 ; 3019.29 ; 85.00 ; 
3035.1176 ; 2786.00 ; 3031.50 ; 86.00 ; 
3051.1765 ; 2811.00 ; 3056.86 ; 85.00 ; 
3067.2353 ; 2815.00 ; 3060.90 ; 85.00 ; 
