3292.06 ; 3023 ; 0.81 ; 
3308.12 ; 3039 ; 0.81 ; 
3324.18 ; 3047 ; 0.82 ; 
3340.24 ; 3059 ; 0.82 ; 
3356.29 ; 3086 ; 0.82 ; 
3372.35 ; 3101 ; 0.83 ; 
3388.41 ; 3121 ; 0.83 ; 
3404.47 ; 3135 ; 0.84 ; 
3420.53 ; 3149 ; 0.84 ; 
3436.59 ; 3171 ; 0.84 ; 
3452.65 ; 3187 ; 0.85 ; 
3468.71 ; 3210 ; 0.85 ; 
3484.76 ; 3223 ; 0.85 ; 
3500.82 ; 3239 ; 0.86 ; 
3516.88 ; 3258 ; 0.86 ; 
3532.94 ; 3275 ; 0.87 ; 
3549.00 ; 3299 ; 0.87 ; 
3565.06 ; 3325 ; 0.87 ; 
3581.12 ; 3339 ; 0.88 ; 
3597.18 ; 3359 ; 0.88 ; 
3613.24 ; 3383 ; 0.89 ; 
3629.29 ; 3406 ; 0.89 ; 
3645.35 ; 3438 ; 0.89 ; 
3661.41 ; 3443 ; 0.90 ; 
3677.47 ; 3477 ; 0.90 ; 
3693.53 ; 3498 ; 0.91 ; 
3709.59 ; 3523 ; 0.91 ; 
3725.65 ; 3537 ; 0.91 ; 
3741.71 ; 3565 ; 0.92 ; 
3757.76 ; 3583 ; 0.92 ; 
3773.82 ; 3611 ; 0.93 ; 
3789.88 ; 3639 ; 0.93 ; 
3805.94 ; 3667 ; 0.93 ; 
3822.00 ; 3687 ; 0.94 ; 
3838.06 ; 3723 ; 0.94 ; 
3854.12 ; 3747 ; 0.95 ; 
3870.18 ; 3765 ; 0.95 ; 
3886.24 ; 3791 ; 0.95 ; 
3902.29 ; 3825 ; 0.96 ; 
3918.35 ; 3855 ; 0.96 ; 
3934.41 ; 3879 ; 0.96 ; 
3950.47 ; 3911 ; 0.97 ; 
3966.53 ; 3935 ; 0.97 ; 
3982.59 ; 3967 ; 0.98 ; 
3998.65 ; 3995 ; 0.98 ; 
4014.71 ; 4029 ; 0.98 ; 
4030.76 ; 4059 ; 0.99 ; 
4046.82 ; 4081 ; 0.99 ; 
4062.88 ; 4095 ; 1.00 ; 
4078.94 ; 4095 ; 1.00 ; 
4095.00 ; 4095 ; 1.00 ; 
0.00 ; 0 ; 0.00 ; 
16.06 ; 0 ; 0.01 ; 
32.12 ; 0 ; 0.01 ; 
48.18 ; 12 ; 0.02 ; 
64.24 ; 25 ; 0.02 ; 
80.29 ; 42 ; 0.02 ; 
